start,duration,vpid,episode pid,title,direction,delta
14:55:56,PT11M3S,b07jgkbr,b07jgklh,Attack of the Clowns,late,659.331975
14:56:57,PT11M19S,b07zjfkg,b07zjfkq,Agent 58,,
15:04:54,PT11M19S,b07zjfkg,b07zjfkq,Agent 58,late,534.237299
15:07:19,PT11M13S,b07ypcmz,b07ypmlv,All 5it,,
15:18:32,PT11M13S,b07ypcmz,b07ypmlv,All 5it,,
15:23:24,PT3S,p0fhr412,p0fhr40w,,,
15:23:27,PT49S,p0fjg9sq,p0fjg9sl,,,
15:24:16,PT11M9.36S,b08dn4v0,b06mz6f7,"The Eiffel Tower, France",,
15:35:25,PT3S,p0fjg27l,p0fjg27g,,,
15:35:28,PT11M13.04S,b08dncls,b06mz7g7,"The Pyramids of Giza, Egypt",,
15:46:41,PT3S,p0fdt0x2,p0fdt0wy,,,
15:46:44,PT30S,p0fjh1y4,p0fjh1y0,,,
15:47:14,PT11M4.2S,b06g0yd1,b06g1373,Planet of the Toilets,,
15:58:19,PT3S,p0fdt426,p0fdt422,,,
15:58:22,PT11M6S,b074gl3t,b06g14ng,Pink Dawn,,
16:07:35,PT1M,p0fdrlph,p0fdrlpc,,,
16:08:35,PT10S,p0fdrp70,p0fdrp6t,,,
16:08:45,PT1M,p0fdrlph,p0fdrlpc,,,
16:09:45,PT3S,p0fhr412,p0fhr40w,,,
16:10:01,PT1M,p0fdrlph,p0fdrlpc,,,
16:11:01,PT1M,p0fdrlph,p0fdrlpc,,,
16:12:02,PT1M,p0fdrlph,p0fdrlpc,,,
16:13:02,PT1M,p0fdrlph,p0fdrlpc,,,
16:14:04,PT1M,p0fdrlph,p0fdrlpc,,,
16:15:04,PT11M8.36S,b08fdvym,b06mz86n,"Stonehenge, England",,
16:26:55,PT1M,p0fdrlph,p0fdrlpc,,,
16:27:09,PT10S,p0fdrp70,p0fdrp6t,,,
16:27:19,PT1M,p0fdrlph,p0fdrlpc,,,
16:28:19,PT10S,p0fdrp70,p0fdrp6t,,,
16:28:29,PT3S,p0fdt38w,p0fdt38h,,,
16:28:32,PT1M,p0fdrlph,p0fdrlpc,,,
16:29:32,PT10S,p0fdrp70,p0fdrp6t,,,
16:29:42,PT1M,p0fdrlph,p0fdrlpc,,,
16:30:42,PT10S,p0fdrp70,p0fdrp6t,,,
16:30:52,PT10S,p0fdrp70,p0fdrp6t,,,
16:31:02,PT30S,p0fjh1y4,p0fjh1y0,,,
16:31:32,PT3S,p0fdswns,p0fdswnn,,,
16:31:35,PT11M16S,b06h8pgv,b06h8v39,The World Wide Spider,,
16:42:49,PT3S,p0fhr412,p0fhr40w,,,
16:42:52,PT49S,p0fjg9sq,p0fjg9sl,,,
16:43:41,PT11M14.8S,b088rp4g,b06mzbl8,"Niagara Falls, Canada and USA",,
16:54:56,PT3S,p0fjg27l,p0fjg27g,,,
16:54:59,PT11M14.6S,b08ffffz,b06nsvp4,"Sydney Opera House, Australia",,
17:06:14,PT3S,p0fdt0x2,p0fdt0wy,,,
17:06:16,PT30S,p0fjh1y4,p0fjh1y0,,,
17:06:46,PT11M,b06h8q9z,b06h8vl4,The Other Day the Earth Stood Still,,
17:17:46,PT3S,p0fdt426,p0fdt422,,,
17:17:49,PT11M10S,b06h8r22,b06h8rp7,Welcome to Danger World!,,
